Hole Depth,Bit Depth,Hook Load,Weight on Bit,Rotary RPM,Convertible Torque,On Bottom ROP,Flow,On Bottom Hours,Circulating Hours,Total Mud Volume,Rate Of Penetration,Time Of Penetration,YYYY/MM/DD,HH:MM:SS,Memos
174.4,172.3,55.2,0,0.03,0.005,0,0,1.03,0.7,281.39,0,0,2021-02-08,03:00:00,NA
174.4,172.3,55.2,0,0.03,0.005,0,0,1.03,0.7,281.39,0,0,2021-02-08,03:00:10,NA
174.4,172.3,55.2,0,0.03,0.005,0,0,1.03,0.7,281.16,0,0,2021-02-08,03:00:20,NA
174.4,172.3,55.2,0,0.03,0.005,0,0,1.03,0.7,279.91,0,0,2021-02-08,03:00:30,NA
174.4,172.3,55.2,0,0.03,0.005,0,0,1.03,0.7,280.67,0,0,2021-02-08,03:00:40,NA
174.4,172.3,55.2,0,0.03,0.005,0,0,1.03,0.7,280.34,0,0,2021-02-08,03:00:50,NA
174.4,172.3,55.2,0,0.03,0.005,0,0,1.03,0.7,279.76,0,0,2021-02-08,03:01:00,NA
174.4,172.3,55.2,0,0.03,0.005,0,0,1.03,0.7,279.51,0,0,2021-02-08,03:01:10,NA
174.4,172.3,55.2,0,0.03,0.005,0,0,1.03,0.7,279.51,0,0,2021-02-08,03:01:20,NA
174.4,172.3,55.2,0,0.03,0.005,0,0,1.03,0.7,280.61,0,0,2021-02-08,03:01:30,NA
174.4,172.3,55.2,0,0.03,0.005,0,0,1.03,0.7,279.69,0,0,2021-02-08,03:01:40,NA
174.4,172.3,55.2,0,0.03,0.005,0,0,1.03,0.7,280.81,0,0,2021-02-08,03:01:50,NA
174.4,172.3,55.2,0,0.03,0.005,0,0,1.03,0.7,281.39,0,0,2021-02-08,03:02:00,NA
174.4,172.3,55.2,0,0.03,0.005,0,0,1.03,0.7,280.21,0,0,2021-02-08,03:02:10,NA
174.4,172.3,55.2,0,0.03,0.005,0,0,1.03,0.7,279.57,0,0,2021-02-08,03:02:20,NA
174.4,172.3,55.2,0,0.98,0.005,0,0,1.03,0.7,280.63,0,0,2021-02-08,03:02:30,NA
174.4,172.3,55.2,0,0.98,0.005,0,0,1.03,0.7,280.83,0,0,2021-02-08,03:02:40,NA
174.4,172.3,55.2,0,0.98,0.005,0,0,1.03,0.7,281.63,0,0,2021-02-08,03:02:50,NA
174.4,172.3,55.2,0,0.98,0.005,0,0,1.03,0.7,281.27,0,0,2021-02-08,03:03:00,NA
174.4,172.3,55.2,0,0.03,0.005,0,0,1.03,0.7,280.05,0,0,2021-02-08,03:03:10,NA
174.4,172.3,55.3,0,0.03,0.005,0,0,1.03,0.7,281.06,0,0,2021-02-08,03:03:20,NA
174.4,172.3,55.2,0,0.03,0.005,0,0,1.03,0.7,280.17,0,0,2021-02-08,03:03:30,NA
174.4,172.3,55.3,0,0.03,0.005,0,0,1.03,0.7,280.32,0,0,2021-02-08,03:03:40,NA
174.4,172.3,55.3,0,0.03,0.005,0,0,1.03,0.7,280.66,0,0,2021-02-08,03:03:50,NA
174.4,172.3,55.3,0,1.23,0.005,0,0,1.03,0.7,281.27,0,0,2021-02-08,03:04:00,NA
174.4,172.3,55.3,0,0.98,0.005,0,0,1.03,0.7,280.78,0,0,2021-02-08,03:04:10,NA
174.4,172.3,55.3,0,0.98,0.005,0,0,1.03,0.7,281.12,0,0,2021-02-08,03:04:20,NA
174.4,172.3,55.3,0,0.98,0.005,0,0,1.03,0.7,281.16,0,0,2021-02-08,03:04:30,NA
174.4,172.3,55.3,0,0.98,0.005,0,0,1.03,0.7,280.77,0,0,2021-02-08,03:04:40,NA
174.4,172.3,55.3,0,0.98,0.005,0,0,1.03,0.7,280.71,0,0,2021-02-08,03:04:50,NA
174.4,172.3,55.3,0,0.03,0.005,0,0,1.03,0.7,281.29,0,0,2021-02-08,03:05:00,NA
174.4,172.3,55.3,0,0.03,0.005,0,0,1.03,0.7,281.22,0,0,2021-02-08,03:05:10,NA
174.4,172.3,55.3,0,0.03,0.005,0,0,1.03,0.7,280.77,0,0,2021-02-08,03:05:20,NA
174.4,172.3,55.3,0,0.03,0.005,0,0,1.03,0.7,280.87,0,0,2021-02-08,03:05:30,NA
174.4,172.3,55.3,0,0.03,0.005,0,0,1.03,0.7,279.76,0,0,2021-02-08,03:05:40,NA
174.4,172.3,55.3,0,0.03,0.005,0,0,1.03,0.7,280.71,0,0,2021-02-08,03:05:50,NA
174.4,172.3,55.3,0,0.03,0.005,0,0,1.03,0.7,280.92,0,0,2021-02-08,03:06:00,NA
174.4,172.3,55.3,0,12.53,2.65,0,0,1.03,0.7,281.27,0,0,2021-02-08,03:06:10,NA
174.4,172.3,55.3,0,11.73,1.832,0,0,1.03,0.7,280.47,0,0,2021-02-08,03:06:20,NA
174.4,172.3,55.3,0,11.76,2.145,0,0,1.03,0.7,280.87,0,0,2021-02-08,03:06:30,NA
174.4,172.3,55.3,0,0.06,0.622,0,0,1.03,0.7,280.87,0,0,2021-02-08,03:06:40,NA
174.4,172.3,55.3,0,0.03,0.005,0,0,1.03,0.7,279.85,0,0,2021-02-08,03:06:50,NA
