Ant Index,2015/6/1,2015/6/2,2015/6/3,2015/6/4,2015/6/5,2015/6/6,2015/6/7,2015/6/8,2015/6/9,2015/6/10,2015/6/11,2015/6/12,2015/6/13,2015/6/14,2015/6/15,2015/6/16,2015/6/17,2015/6/18,2015/6/19,2015/6/20,2015/6/21,2015/6/22,2015/6/23,2015/6/24,2015/6/25,2015/6/26,2015/6/27,2015/6/28,2015/6/29,2015/6/30,2015/7/1,2015/7/2,2015/7/3,2015/7/4,2015/7/5,2015/7/6,2015/7/7,2015/7/8,2015/7/9,2015/7/10,2015/7/11,2015/7/12,2015/7/13,2015/7/14,2015/7/15,2015/7/16,2015/7/17,2015/7/18,2015/7/19,2015/7/20,2015/7/21,2015/7/22,2015/7/23,2015/7/24,2015/7/25,2015/7/26,2015/7/27,2015/7/28,2015/7/29,2015/7/30,2015/7/31,2015/8/1,2015/8/2,2015/8/3,2015/8/4,2015/8/5,2015/8/6,2015/8/7,2015/8/8,2015/8/9,2015/8/10,2015/8/11,2015/8/12,2015/8/13,2015/8/14
0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,5,17,9,7,4,33,28,102,35,181,55,30,85,71,40,66,73,50,44,38,42,32,52,35,82,29,44,82,34,34,53,52,61,55,51,30,63,45,44,46,35,50,45,42,55,40,60,72,76,81,62,74,51,83,65,63
1,88,34,27,18,39,27,21,50,46,26,39,29,13,27,35,41,46,32,21,31,33,29,44,29,61,47,20,34,64,62,37,31,54,47,30,32,20,31,56,29,38,25,32,33,41,49,55,43,36,37,28,23,29,42,32,31,35,35,18,14,19,65,42,54,31,38,46,27,19,19,54,48,19,11,5
2,74,63,31,51,51,44,47,52,40,55,41,62,39,49,41,38,46,43,53,42,43,40,36,44,24,38,92,64,33,38,52,21,30,56,61,36,35,28,34,52,31,32,36,27,32,24,43,23,29,31,29,25,19,21,20,22,16,28,23,21,28,13,14,23,24,19,33,24,13,24,22,26,13,11,11
3,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,6,0,2,2,8,15,3,27,22,12,14,76,16,144,225,141,79,119,75,109,170,86,57,85,116,47,73,25,10,14,25,13,11,13,18,19,31,15,42,23,25,67,49,95,43,58,51,52,39
4,49,44,11,18,20,14,28,40,37,41,43,27,8,16,43,19,59,49,26,46,16,23,10,17,10,51,7,34,20,39,32,43,21,15,14,54,21,34,43,47,31,31,43,25,36,28,23,32,76,30,20,23,10,22,13,14,16,9,8,10,24,12,14,9,16,4,12,13,20,21,15,15,9,10,16
5,35,27,57,47,33,41,41,70,25,33,9,9,15,31,33,17,26,34,37,41,22,19,19,25,60,44,11,26,39,32,30,49,34,35,30,39,37,38,35,37,39,33,41,26,18,34,8,8,5,14,25,10,7,6,7,6,3,11,7,6,4,13,1,4,4,4,11,21,9,12,17,8,0,0,1
6,33,48,41,29,30,38,62,103,28,23,39,26,32,26,16,12,17,20,20,27,53,20,49,28,40,23,37,34,13,23,33,30,26,32,23,59,36,40,21,27,56,35,17,30,19,15,15,7,31,19,6,19,10,12,10,12,7,12,4,4,6,8,5,3,12,6,6,11,2,2,7,6,3,1,3
7,51,64,49,26,31,25,56,48,20,44,40,47,36,39,45,25,23,41,27,34,35,39,42,37,57,65,49,74,61,69,63,62,54,57,66,14,43,14,17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,38,51,51,25,28,27,38,45,20,28,17,15,21,22,23,24,24,48,28,57,28,23,27,32,29,37,36,37,23,54,40,45,69,41,37,19,19,29,16,32,18,17,25,13,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,58,59,54,47,45,50,80,79,30,42,32,28,56,63,43,35,50,29,28,46,23,45,38,79,47,39,29,33,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
