Ant Index,2018/6/3,2018/6/4,2018/6/5,2018/6/6,2018/6/7,2018/6/8,2018/6/9,2018/6/10,2018/6/11,2018/6/12,2018/6/13,2018/6/14,2018/6/15,2018/6/16,2018/6/17,2018/6/18,2018/6/19,2018/6/20,2018/6/21,2018/6/22,2018/6/23,2018/6/24,2018/6/25,2018/6/26,2018/6/27,2018/6/28,2018/6/29,2018/6/30,2018/7/1,2018/7/2,2018/7/3,2018/7/4,2018/7/5,2018/7/6,2018/7/7,2018/7/8,2018/7/9,2018/7/10,2018/7/11,2018/7/12,2018/7/13,2018/7/14,2018/7/15,2018/7/16,2018/7/17,2018/7/18,2018/7/19,2018/7/20,2018/7/21,2018/7/22,2018/7/23,2018/7/24,2018/7/25,2018/7/26,2018/7/27,2018/7/28,2018/7/29,2018/7/30,2018/7/31,2018/8/1,2018/8/2,2018/8/3,2018/8/4,2018/8/5,2018/8/6,2018/8/7,2018/8/8,2018/8/9,2018/8/10,2018/8/11,2018/8/12,2018/8/13,2018/8/14,2018/8/15,2018/8/16,2018/8/17,2018/8/18,2018/8/19,2018/8/20,2018/8/21,2018/8/22,2018/8/23,2018/8/24,2018/8/25,2018/8/26,2018/8/27,2018/8/28,2018/8/29,2018/8/30,2018/8/31,2018/9/1,2018/9/2,2018/9/3,2018/9/4,2018/9/5,2018/9/6,2018/9/7,2018/9/8,2018/9/9,2018/9/10,2018/9/11,2018/9/12,2018/9/13,2018/9/14,2018/9/15,2018/9/16,2018/9/17,2018/9/18,2018/9/19,2018/9/20
0,91,21,17,14,11,23,6,18,54,32,58,32,34,24,4,13,9,11,9,15,24,19,12,12,18,8,13,8,10,18,6,47,69,32,24,33,13,15,19,20,34,23,22,11,25,10,12,13,18,17,10,20,23,30,12,23,15,26,26,16,21,32,24,16,22,36,24,44,25,18,22,22,26,17,18,9,9,27,32,26,20,13,12,19,15,15,14,26,16,17,21,35,12,9,10,5,4,1,3,9,16,8,12,10,16,9,8,14,13,7
1,58,22,39,33,23,24,16,21,20,54,42,28,37,27,25,25,30,20,9,14,16,38,23,15,35,18,22,16,14,21,8,38,65,50,31,22,22,20,33,15,24,10,8,9,18,17,16,16,12,15,13,9,15,17,15,8,7,14,10,22,13,10,15,13,10,20,15,31,20,8,15,20,11,7,8,10,17,13,16,9,16,10,14,5,12,11,6,7,16,11,4,9,6,6,12,7,6,11,15,6,9,11,11,13,11,11,4,8,11,5
2,56,33,42,30,7,10,10,11,24,18,40,23,32,27,17,12,26,10,5,28,10,9,12,11,11,4,11,8,7,22,6,73,57,31,31,41,29,19,16,9,16,3,7,12,36,19,14,17,14,13,5,5,7,38,11,5,8,19,8,13,15,29,16,14,9,37,15,24,19,13,13,11,13,9,9,10,5,8,5,10,15,10,6,4,15,9,6,18,13,10,6,16,1,2,4,4,1,9,5,12,5,7,9,8,4,7,4,6,1,0
3,0,16,19,10,6,14,4,8,18,20,17,15,21,24,18,21,16,15,26,26,27,5,20,20,26,14,31,7,13,10,11,16,16,13,27,7,20,21,23,17,25,7,13,17,9,14,15,15,13,14,10,11,12,16,6,10,17,14,12,11,13,10,9,9,11,12,11,19,13,4,13,13,17,4,10,7,14,9,18,11,10,6,14,18,17,11,13,13,14,15,3,12,9,7,5,7,1,4,10,22,7,14,8,38,9,10,8,9,14,3
4,55,5,2,14,1,8,4,0,2,4,3,6,3,1,3,2,1,6,4,3,2,2,1,1,5,10,21,20,17,15,9,17,21,14,11,15,20,10,15,15,18,11,23,28,16,11,13,8,5,23,10,10,10,27,10,11,7,12,5,10,9,11,19,12,14,18,12,12,12,8,17,20,19,4,10,14,19,12,18,13,9,11,9,25,8,5,5,12,12,8,6,15,17,15,38,9,8,9,13,12,130,83,5,7,6,19,10,3,3,4
5,30,0,0,33,22,36,19,14,18,4,2,4,9,2,3,4,7,4,5,3,1,0,2,5,6,1,46,5,3,5,8,20,11,6,1,8,5,5,6,9,8,9,5,4,10,20,17,6,13,15,10,11,19,6,16,14,8,15,7,17,16,19,9,12,5,8,13,8,13,6,12,10,8,8,8,12,15,14,12,10,15,11,20,9,21,15,14,20,12,18,15,25,9,10,22,9,10,10,13,22,23,6,9,11,12,11,15,23,36,9
6,10,21,20,2,0,12,11,6,17,18,12,25,24,14,3,6,21,11,10,8,3,2,5,7,5,3,10,1,8,3,9,19,46,13,16,27,4,11,34,5,15,10,2,2,5,9,24,12,5,11,15,6,9,4,7,3,6,11,6,9,23,14,16,19,5,12,4,9,3,3,19,5,3,7,9,8,18,14,22,12,13,9,9,12,19,11,7,20,14,12,9,12,16,17,23,10,9,9,16,8,29,25,15,16,10,12,6,11,11,3
7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,2,36,50,51,27,32,29,21,33,24,58,17,20,20,24,24,42,23,14,18,14,21,18,38,19,22,25,19,13,14,33,19,14,20,10,19,16,14,18,13,17,8,17,7,8,7,12,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,77,20,11,52,26,19,18,2,3,2,1,2,1,1,0,4,3,2,5,1,0,0,2,1,4,2,17,0,3,1,1,1,7,6,11,6,17,20,15,8,11,10,9,8,4,12,17,10,4,14,5,9,4,7,6,9,7,8,6,7,28,15,16,13,7,14,10,12,10,7,6,10,9,8,10,6,6,8,16,5,4,5,12,21,5,4,6,3,5,6,2,3,2,2,7,7,4,1,5,16,94,48,1,3,3,9,9,3,2,0
9,71,19,22,11,10,6,6,17,35,29,29,19,26,24,16,18,11,11,10,9,7,16,14,14,11,12,12,7,7,9,7,17,12,14,4,11,25,13,9,6,12,5,12,7,15,21,11,4,6,20,4,5,11,16,7,5,5,8,4,3,7,12,7,6,4,11,5,10,9,7,8,5,4,3,5,2,6,5,4,6,3,8,5,5,9,2,6,2,2,1,3,2,3,1,3,2,2,6,7,3,7,9,0,0,3,2,1,2,2,0
