Ant Index,2018/6/17,2018/6/18,2018/6/19,2018/6/20,2018/6/21,2018/6/22,2018/6/23,2018/6/24,2018/6/25,2018/6/26,2018/6/27,2018/6/28,2018/6/29,2018/6/30,2018/7/1,2018/7/2,2018/7/3,2018/7/4,2018/7/5,2018/7/6,2018/7/7,2018/7/8,2018/7/9,2018/7/10,2018/7/11,2018/7/12,2018/7/13,2018/7/14,2018/7/15,2018/7/16,2018/7/17,2018/7/18,2018/7/19,2018/7/20,2018/7/21,2018/7/22,2018/7/23,2018/7/24,2018/7/25,2018/7/26,2018/7/27,2018/7/28,2018/7/29,2018/7/30,2018/7/31,2018/8/1,2018/8/2,2018/8/3,2018/8/4,2018/8/5,2018/8/6,2018/8/7,2018/8/8,2018/8/9,2018/8/10,2018/8/11,2018/8/12,2018/8/13,2018/8/14,2018/8/15,2018/8/16,2018/8/17,2018/8/18,2018/8/19,2018/8/20,2018/8/21,2018/8/22,2018/8/23,2018/8/24,2018/8/25,2018/8/26,2018/8/27,2018/8/28,2018/8/29,2018/8/30,2018/8/31,2018/9/1,2018/9/2,2018/9/3,2018/9/4,2018/9/5,2018/9/6,2018/9/7,2018/9/8,2018/9/9,2018/9/10,2018/9/11,2018/9/12,2018/9/13,2018/9/14,2018/9/15,2018/9/16,2018/9/17,2018/9/18,2018/9/19,2018/9/20
0,3,0,6,2,4,5,3,3,3,1,3,1,1,0,3,2,1,2,1,1,4,1,3,5,2,0,6,3,2,3,4,10,9,8,3,20,3,4,2,3,4,4,4,6,2,3,2,1,3,3,5,8,5,8,13,2,6,3,7,1,0,1,2,1,3,4,15,26,10,33,12,83,100,85,111,142,23,192,40,68,150,135,196,197,47,46,49,50,19,51,47,92,13,39,32,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,24,13,18,25,16,21,23,7,4,15,11,5,12,9,9,19,16,19,20,33,24,29,31,89,108,119,87,63,35,60,39,46,105,84,137,131,47,53,25,45,10,21,30,62,11,18,19,1
2,3,2,22,13,1,4,11,2,4,2,2,2,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,2,2,2,5,5,14,5,29,13,42,36,16,41,41,27,32,23,23,15,31,26,22,34,16,18,15,11,6,14,13,11,13,16,12,25,12,11,12,31,18,19,13,14,17,31,30,41,29,12,11,20,13,20,14,11,12,17,20,11,10,17,13,19,8,28,14,9
3,2,10,9,4,3,12,10,11,5,0,1,4,9,2,4,3,2,5,3,0,1,1,5,4,1,1,6,4,7,12,7,12,13,18,11,21,13,21,8,14,13,17,15,31,21,23,17,24,15,13,16,24,11,19,9,12,13,10,11,6,4,8,7,23,23,20,13,16,12,12,14,7,8,16,9,15,10,17,7,2,15,9,16,17,10,16,12,11,15,16,7,9,4,10,7,4
4,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,3,0,9,12,25,7,25,12,15,40,28,14,34,19,31,30,26,36,35,22,13,11,12,11,6,26,26,9,6,10,10,6,4,22,15,23,32,18,13,10,11,12,12,12,12,15,19,18,12,15,6,8,7,9,8,7,16,12,11,5,13,6,9,13,8,10,9,3
5,3,16,7,10,1,5,5,6,6,6,3,4,7,3,1,4,2,2,2,4,3,1,3,5,2,6,2,4,3,3,3,2,3,6,2,8,5,12,7,11,7,9,23,14,23,17,13,21,27,10,19,14,9,31,20,7,11,10,10,3,2,8,12,14,7,16,15,16,14,25,19,12,8,11,10,10,7,21,9,12,8,13,16,21,17,17,14,23,17,21,15,11,12,21,12,8
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9,12,24,42,28,16,37,37,23,8,13,11,9,13,40,60,41,58,39,44,53,15,40,16,13,20,18,26,12,21,20,4,12,5,5,6,6,1,2,3,3
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,3,2,1,1,1,6,2,2,1,3,3,6,21,16,14,10,4,13,9,11,6,10,7,13,15,24,12,22,20,27,14,8,10,12,9,20,20,13,13,10,12,9,8,10,13,24,20,16,18,12,9,19,11,17,20,10,12,7,14,15,5,8,9,5,5,8,6,12,11,6,6,12,4,3,2,2,3,2
8,2,5,4,0,4,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,3,1,1,3,1,2,0,0,0,3,0,0,2,0,2,2,1,2,3,8,5,21,9,4,5,0,0,1,2,12,2,2,3,2,5,9,16,14,17,10,14,11,5,5,7,19,35,14,69,14,19,47,38,57,70,27,11,21,13,4,13,6,13,9,16,26,5
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,64,24,29,33,25,28,10,21,25,21,28,27,32,15,19,18,20,14,3,4,9,3,0,7,3,14,1,0,2,2,6,5,4,8,7,6,13,12,9,19,12,3,5,6,2,5,2,9,6,4,4,6,8,8,9,14,7,9,6,6,7,17,2
