Ant Index,2018/6/26,2018/6/27,2018/6/28,2018/6/29,2018/6/30,2018/7/1,2018/7/2,2018/7/3,2018/7/4,2018/7/5,2018/7/6,2018/7/7,2018/7/8,2018/7/9,2018/7/10,2018/7/11,2018/7/12,2018/7/13,2018/7/14,2018/7/15,2018/7/16,2018/7/17,2018/7/18,2018/7/19,2018/7/20,2018/7/21,2018/7/22,2018/7/23,2018/7/24,2018/7/25,2018/7/26,2018/7/27,2018/7/28,2018/7/29,2018/7/30,2018/7/31,2018/8/1,2018/8/2,2018/8/3,2018/8/4,2018/8/5,2018/8/6,2018/8/7,2018/8/8,2018/8/9,2018/8/10,2018/8/11,2018/8/12,2018/8/13,2018/8/14,2018/8/15,2018/8/16,2018/8/17,2018/8/18,2018/8/19,2018/8/20,2018/8/21,2018/8/22,2018/8/23,2018/8/24,2018/8/25,2018/8/26,2018/8/27,2018/8/28,2018/8/29,2018/8/30,2018/8/31,2018/9/1,2018/9/2,2018/9/3,2018/9/4,2018/9/5,2018/9/6,2018/9/7,2018/9/8,2018/9/9,2018/9/10,2018/9/11,2018/9/12,2018/9/13,2018/9/14,2018/9/15,2018/9/16,2018/9/17,2018/9/18,2018/9/19,2018/9/20
0,23,73,41,34,31,24,45,42,35,39,32,14,31,22,23,11,20,24,23,28,12,15,20,18,9,13,8,5,3,5,6,13,41,42,40,9,9,10,19,20,18,12,32,20,10,9,8,27,2,4,5,1,1,45,4,5,22,19,25,3,6,9,6,8,9,7,12,7,8,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,20,92,73,31,32,18,19,18,16,23,15,21,7,13,8,10,5,9,16,10,12,3,9,7,13,4,12,16,5,8,10,8,31,15,7,4,7,7,9,9,6,9,7,5,6,2,9,8,8,6,5,8,6,14,10,7,8,2,6,5,4,8,6,19,11,20,9,13,8,10,7,11,14,40,24,31,31,18,37,45,43,8,7,2,0,0,0
2,8,10,12,6,5,2,11,6,11,7,10,5,4,7,13,9,7,7,9,4,1,8,6,6,14,8,9,5,2,1,1,3,22,48,19,20,12,16,16,14,8,23,14,15,18,14,13,20,7,5,6,5,4,38,14,14,33,13,15,9,15,8,13,17,8,5,8,6,10,6,8,9,26,15,17,7,14,7,5,5,61,13,19,8,24,18,9
3,2,10,5,6,7,4,5,4,5,1,3,1,1,3,1,1,4,6,15,6,1,2,7,7,12,8,21,25,77,63,58,49,50,39,37,3,6,9,29,12,13,11,8,20,13,10,14,14,29,29,20,31,7,19,11,11,15,8,22,9,7,4,21,16,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,8,5,5,5,2,13,9,8,30,21,1,3,4,5,3,2,7,4,9,10,9,4,3,8,6,6,11,6,4,3,11,29,23,18,4,4,8,3,10,3,2,7,7,10,3,3,7,2,1,1,5,3,19,12,11,21,13,20,4,9,13,4,11,6,11,13,6,4,3,1,6,2,11,19,28,26,25,43,24,36,17,27,19,15,23,5
5,6,49,35,15,9,14,9,2,19,52,15,5,17,12,35,23,9,13,4,10,13,6,12,11,11,10,18,7,12,12,5,5,8,21,14,4,9,4,5,11,6,15,4,6,16,15,12,14,13,5,2,1,5,20,6,8,13,7,13,16,4,16,17,4,13,9,30,15,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,4,12,20,4,8,2,3,2,2,1,0,0,0,1,1,0,1,0,2,0,0,2,0,3,0,0,8,5,1,4,1,16,5,0,0,2,2,1,0,1,0,5,2,1,0,4,0,0,0,1,0,4,24,11,12,25,11,9,11,8,0,11,7,8,7,11,5,10,11,16,13,34,22,15,57,29,20,49,57,44,20,15,5,10,31,9
7,8,68,75,27,18,22,21,40,16,27,29,49,23,27,28,53,26,23,40,8,23,20,9,13,7,16,5,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,10,21,23,34,21,10,13,8,14,60,17,15,15,8,14,11,15,10,26,18,2,14,6,5,4,15,4,3,3,0,0,7,35,20,13,16,6,8,8,13,5,9,2,8,5,3,6,11,5,1,2,2,3,24,3,6,24,3,5,4,1,5,4,0,5,2,4,2,3,4,5,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9,6,22,13,5,4,4,7,9,15,10,17,14,16,22,33,13,7,6,10,8,6,6,7,4,20,3,4,12,1,9,2,5,14,9,10,6,9,5,6,3,2,6,10,7,13,4,7,11,3,6,2,4,0,33,5,3,5,5,7,6,1,7,6,13,5,5,25,10,7,5,10,9,16,14,9,8,12,0,5,2,2,5,3,1,5,15,2
