Ant Index,2018/6/26,2018/6/27,2018/6/28,2018/6/29,2018/6/30,2018/7/1,2018/7/2,2018/7/3,2018/7/4,2018/7/5,2018/7/6,2018/7/7,2018/7/8,2018/7/9,2018/7/10,2018/7/11,2018/7/12,2018/7/13,2018/7/14,2018/7/15,2018/7/16,2018/7/17,2018/7/18,2018/7/19,2018/7/20,2018/7/21,2018/7/22,2018/7/23,2018/7/24,2018/7/25,2018/7/26,2018/7/27,2018/7/28,2018/7/29,2018/7/30,2018/7/31,2018/8/1,2018/8/2,2018/8/3,2018/8/4,2018/8/5,2018/8/6,2018/8/7,2018/8/8,2018/8/9,2018/8/10,2018/8/11,2018/8/12,2018/8/13,2018/8/14,2018/8/15,2018/8/16,2018/8/17,2018/8/18,2018/8/19,2018/8/20,2018/8/21,2018/8/22,2018/8/23,2018/8/24,2018/8/25,2018/8/26,2018/8/27,2018/8/28,2018/8/29,2018/8/30,2018/8/31,2018/9/1,2018/9/2,2018/9/3,2018/9/4,2018/9/5,2018/9/6,2018/9/7,2018/9/8,2018/9/9,2018/9/10,2018/9/11,2018/9/12,2018/9/13,2018/9/14,2018/9/15,2018/9/16,2018/9/17,2018/9/18,2018/9/19,2018/9/20
0,11,20,24,12,14,8,11,24,17,28,15,9,8,24,9,8,13,15,8,6,7,5,12,3,11,13,14,14,13,18,30,9,14,13,28,9,27,21,20,28,34,18,37,28,25,24,24,8,8,10,8,31,11,28,49,36,14,8,18,13,7,12,16,18,22,18,29,20,41,23,23,31,30,23,18,14,17,32,22,27,22,21,21,12,14,21,9
1,27,41,31,12,31,7,25,22,16,71,27,14,11,41,26,10,28,12,23,14,17,9,10,8,24,18,12,19,13,9,27,11,10,19,44,13,17,9,8,9,33,8,31,28,15,8,35,20,23,10,12,29,9,32,13,11,12,8,6,23,8,10,13,12,19,9,9,8,20,12,8,24,19,33,37,28,23,22,10,13,16,22,13,8,4,6,6
2,92,115,77,16,38,15,12,24,50,102,50,36,18,17,1,8,14,9,9,4,4,5,8,4,27,31,21,16,13,15,93,24,34,34,36,10,32,27,14,20,18,10,37,20,7,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,25,38,20,17,18,17,19,21,33,31,23,67,28,21,15,22,10,23,10,17,24,17,14,22,42,19,23,25,25,21,37,13,14,12,23,16,17,16,12,12,27,24,39,25,24,22,23,11,19,20,9,21,12,20,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,7,41,14,21,16,22,13,8,13,20,19,19,18,18,16,34,31,18,30,17,23,16,10,7,12,21,19,17,16,39,28,13,10,16,13,24,12,13,8,22,20,13,17,3,21,20,12,21,18,20,29,9,13,14,22,7,18,22,17,16,12,14,1
5,0,0,0,0,0,0,0,0,0,13,0,0,3,1,0,0,4,3,26,46,44,27,21,21,24,15,16,15,9,38,38,19,10,3,9,8,4,1,6,51,28,8,21,12,15,19,28,29,20,10,16,33,5,51,18,9,17,7,12,5,0,21,32,11,17,7,13,7,10,7,4,16,6,7,4,7,11,9,8,12,5,9,11,4,3,6,0
6,6,16,7,6,5,3,12,8,12,3,11,2,6,6,4,5,15,16,25,13,26,10,8,10,21,18,20,37,18,21,29,30,33,47,51,15,19,21,26,48,19,13,39,31,27,26,27,15,18,12,12,9,8,30,17,21,16,11,8,10,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6,5,1,0,1,1,3,7,3,10,4,4,1,5,21,5,7,3,2,12,5,4,7,3,9,8,2,3,19,4,12,6,2,3,36,6,6,2,4,4,5,4,39,9,6,4,22,10,15,23,21,24,14,28,20,14,24,5,5,15,12,10,26,18,20,9,14,4,39,15,9,22,36,21,41,27,27,19,20,19,6,6,27,10,8,3,3
8,0,5,6,10,8,7,4,10,13,14,11,16,13,12,19,9,24,15,6,8,6,4,15,1,19,9,8,12,10,12,47,24,20,19,45,9,12,12,16,12,14,9,21,14,15,10,16,14,11,9,7,11,8,24,9,6,19,5,5,0,1,3,12,12,6,5,5,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,23,24,22,16,10,17,29,23,18,33,22,10,14,9,14,12,8,10,5,13,11,13,14,10,22,10,15,7,17,12,16,9,14,17,27,8,9,7,9,12,8,10,20,15,12,11,10,15,8,13,8,9,9,16,8,16,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
