LOCATION,DATESEQ,COVER1,VA1COVER,ME2LOGHETADS,VA2LOGHETADS,ME4LOGGAMBO,VA4LOGGAMBO
TP,1,96.67,33.33,0,0,0.92,0.64
TP,2,83.33,33.33,0.6,0.31,0.23,0.16
TP,3,50,100,0.9,0.68,0.54,0.86
TP,4,46.67,233.33,0.46,0.16,0.37,0.4
TP,5,66.67,233.33,0.23,0.16,0.23,0.16
TP,6,76.67,533.33,0.23,0.16,0.69,0.48
TP,7,63.33,633.33,0.23,0.16,0,0
TP,8,90,100,0.83,0.54,0.23,0.16
TP,9,86.67,233.33,1.63,0.75,0.73,0.4
TP,10,56.67,933.33,0.96,0.82,0.83,0.54
TP,11,66.67,1033.33,1.46,0.5,1.48,0.19
TP,12,10,0,0.54,0.86,1.36,0.35
TP,13,20,100,0.23,0.16,0.83,0.82
TP,14,16.67,33.33,0,0,0,0
TP,15,10,0,0,0,0.6,0.31
TP,16,20,100,0,0,0.69,0.48
TP,17,30,100,0,0,0,0
TP,18,10,0,0,0,0,0
TP,19,20,100,0,0,0.46,0.16
TP,20,26.67,433.33,0,0,0,0
TP,21,10,0,0,0,0.37,0.4
TP,22,0,0,0,0,0.23,0.16
TP,23,16.67,133.33,0,0,0.46,0.64
TP,24,16.67,133.33,0,0,0.6,0.31
TP,25,13.33,233.33,1.65,2.06,0.23,0.16
TP,26,10,100,0.23,0.16,1.13,0.21
TP,27,6.67,33.33,0.46,0.64,0,0
TP,28,0,0,0.6,0.31,0.46,0.16
TP,29,6.67,33.33,0,0,0,0
TP,30,0,0,0.88,0.97,0.6,0.31
TP,31,13.33,233.33,0.23,0.16,0.23,0.16
TP,32,0,0,0.88,2.32,0.23,0.16
TP,33,3.33,33.33,0,0,0.46,0.16
TP,34,33.33,633.33,1.13,0.21,0.69,0.48
TP,35,18.33,358.33,1.45,1.73,0.54,0.86
TP,36,56.67,533.33,2.46,0.3,0.83,0.54
TP,37,23.33,433.33,1.4,1.55,0.46,0.16
TP,38,0,0,1.46,0.65,0.23,0.16
TP,39,10,300,2.25,0.45,1,0.76
TP,40,30,1900,2.26,1.05,0,0
TP,41,10,100,0.23,0.16,0.37,0.4
TP,42,3.33,33.33,0,0,0.37,0.4
TP,43,6.67,133.33,0.69,0.48,0.46,0.16
TP,44,3.33,33.33,1.8,3.02,0.23,0.16
TP,45,15,50,2.19,1.3,0.35,0.24
TP,46,3.33,33.33,1.58,2.2,0.6,1.07
TP,47,6.67,133.33,1.43,0.32,1.29,0.03
TP,48,3.33,33.33,0.77,0.65,0.23,0.16
TP,49,6.67,133.33,1.36,1.59,0.37,0.4
TP,50,8.34,,,,,
TP,51,10,100,1.21,2.37,0.23,0.16
TP,52,3.33,33.33,1.29,1.95,0,0
TP,53,13.33,33.33,0.6,0.31,0,0
TP,54,13.33,133.33,0,0,0,0
TP,55,13.33,33.33,0,0,0.37,0.4
TP,56,46.67,2233.33,0.54,0.86,0.54,0.86
TP,57,20,300,0.46,0.64,0,0
TP,58,70,2700,0.23,0.16,0,0
TP,59,63.33,1033.33,0.92,0.16,0.37,0.4
TP,60,30,1900,0.83,0.05,0.23,0.16
TP,61,16.67,433.33,0.83,0.82,0.6,1.07
TP,62,10,300,0.23,0.16,0.46,0.64
WRHW,1,90,300,2.46,0.71,0.23,0.16
WRHW,2,80,700,3.58,3.93,0.73,0.4
WRHW,3,98.33,8.33,3.36,0.53,0.96,0.05
WRHW,4,83.33,833.33,4.17,1.06,0.8,1.92
WRHW,5,83.33,433.33,4.16,0.59,2.17,4.02
WRHW,6,93.33,133.33,4.76,0.49,0.54,0.86
WRHW,7,83.33,433.33,3.83,2.36,0.46,0.16
WRHW,8,80,400,2.91,1.78,0,0
WRHW,9,83.33,433.33,3.65,1.37,1.64,2.47
WRHW,10,35,475,3.27,0.03,0,0
WRHW,11,80,300,4.4,0.59,1.95,2.89
WRHW,12,73.33,633.33,2.45,4.55,1,1.4
WRHW,13,93.33,133.33,4.41,2.23,0.46,0.16
WRHW,14,40,700,4.56,0.36,1.19,0.31
WRHW,15,80,1200,4.14,0.21,1.13,0.21
WRHW,16,80,700,3.48,0.03,1,0.76
WRHW,17,90,300,3.58,0.84,0.23,0.16
WRHW,18,93.33,133.33,3.99,0.86,1.13,0.21
WRHW,19,100,0,4.25,0.6,0.37,0.4
WRHW,20,100,0,5.37,0.07,1.86,0.46
WRHW,21,96.67,33.33,4.26,0.57,1.43,1.64
WRHW,22,83.33,233.33,3.75,0.34,1.72,2.08
WRHW,23,60,1300,4.35,2.59,2.07,1.45
WRHW,24,50,100,4.64,0.06,1.61,0.65
WRHW,25,40,400,3.43,1.03,1,0.76
WRHW,26,70,400,3.36,2.35,0.77,0.65
WRHW,27,15,450,4.04,2,0,0
WRHW,28,40,1900,2.96,0.26,1.48,0.19
WRHW,29,61.67,1408.33,3.59,2.04,0.23,0.16
WRHW,30,26.67,833.33,3.55,0.64,1.16,0.16
