,I_A_Apr_01,I_A_Jul_01,I_A_Oct_01,I_A_Jan_02,I_A_Jun_02,I_A_Aug_02,I_A_Nov_02,I_A_Feb_03,I_A_May_03,I_A_Aug_03,I_A_Dec_03,I_A_Feb_04,I_A_May_04,I_A_Aug_04,I_A_Dec_04,I_A_Feb_05,I_A_Jun_05,I_A_Aug_05,I_A_Oct_05,I_A_Feb_06,I_A_May_06,I_A_Aug_06,I_A_Nov_06,I_A_Jan_07,I_A_May_07,I_A_Aug_07,I_A_Nov_07,I_A_Mar_08,I_A_May_08,I_A_Aug_08,I_A_Oct_08,I_A_Feb_09,I_A_May_09,I_A_Aug_09,I_A_Nov_09,I_A_Feb_10,I_A_Apr_10,I_A_Jul_10,I_A_Oct_10,I_A_Feb_11,I_A_Apr_11,I_A_Jul_11,I_A_Oct_11,I_A_Feb_12,I_A_Apr_12,I_A_Jul_12,I_A_Nov_12,I_A_Jan_13,I_A_May_13,I_A_Aug_13,I_A_Oct_13,I_A_Jan_14,I_A_May_14,I_A_Aug_14,I_A_Oct_14,I_A_Feb_15,I_A_Apr_15,I_A_Jul_15,I_A_Oct_15,I_A_Feb_16,I_A_May_16,I_A_Aug_16,I_A_Oct_16,I_A_Feb_17,I_A_Jun_17,I_B_Jan_01,I_B_Apr_01,I_B_Jul_01,I_B_Oct_01,I_B_Jan_02,I_B_Jun_02,I_B_Aug_02,I_B_Nov_02,I_B_Feb_03,I_B_May_03,I_B_Aug_03,I_B_Dec_03,I_B_Feb_04,I_B_May_04,I_B_Aug_04,I_B_Dec_04,I_B_Feb_05,I_B_Jun_05,I_B_Aug_05,I_B_Oct_05,I_B_Feb_06,I_B_May_06,I_B_Aug_06,I_B_Nov_06,I_B_Jan_07,I_B_May_07,I_B_Aug_07,I_B_Nov_07,I_B_Mar_08,I_B_May_08,I_B_Aug_08,I_B_Oct_08,I_B_Feb_09,I_B_May_09,I_B_Aug_09,I_B_Nov_09,I_B_Feb_10,I_B_Apr_10,I_B_Jul_10,I_B_Oct_10,I_B_Feb_11,I_B_Apr_11,I_B_Jul_11,I_B_Oct_11,I_B_Feb_12,I_B_Apr_12,I_B_Jul_12,I_B_Nov_12,I_B_Jan_13,I_B_May_13,I_B_Aug_13,I_B_Oct_13,I_B_Jan_14,I_B_May_14,I_B_Aug_14,I_B_Oct_14,I_B_Feb_15,I_B_Apr_15,I_B_Jul_15,I_B_Oct_15,I_B_Feb_16,I_B_May_16,I_B_Aug_16,I_B_Oct_16,I_B_Feb_17,I_B_Jun_17
Acanthopagrus_pacificus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Acanthopagrus_schlegelii_schlegelii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthurus_dussumieri,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthurus_xanthopterus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alectis_ciliaris,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alectis_indica,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apogonichthyoides_pseudotaeniatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Argyrosomus_japonicus,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,2,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arius_maculatus,0,0,0,0,0,1,1,0,2,4,0,0,7,1,3,2,3,2,1,0,12,1,1,0,2,7,0,1,0,0,2,1,6,0,0,0,2,1,0,0,4,0,0,1,10,4,0,0,0,0,2,0,0,1,0,0,2,9,0,0,4,1,0,0,3,0,0,1,0,0,1,0,1,0,0,25,2,0,0,1,5,1,3,1,0,0,7,0,2,2,0,1,0,0,0,0,2,0,7,1,1,0,1,1,0,0,7,1,1,14,0,16,0,0,1,3,0,0,0,3,1,0,0,5,0,0,7,4,4,0,3
Arothron_hispidus,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
