,I_a_Jan_00,I_a_Jun_00,I_a_Aug_00,I_a_Sep_00,I_a_Mar_01,I_a_Jun_01,I_a_Aug_01,I_a_Nov_01,I_a_Mar_02,I_a_Jun_02,I_a_Aug_02,I_a_Oct_02,I_a_Jun_03,I_a_Jul_03,I_a_Aug_03,I_a_Sep_03,I_a_May_04,I_a_Jun_04,I_a_Jul_04,I_a_Aug_04,I_a_Jun_05,I_a_Jul_05,I_a_Aug_05,I_a_Sep_05,I_a_Apr_06,I_a_May_06,I_a_Jul_06,I_a_Jul1_06,I_a_Apr_07,I_a_May_07,I_a_Jul_07,I_a_Aug_07,I_a_Apr_08,I_a_May_08,I_a_Jul_08,I_a_Oct_08,I_a_May_09,I_a_Jun_09,I_a_Aug_09,I_a_Nov_09,I_a_May_10,I_a_Jun_10,I_a_Jul_10,I_a_Sep_10,I_a_May_11,I_a_Jun_11,I_a_Jul_11,I_a_Oct_11,I_a_Apr_12,I_a_Jun_12,I_a_Aug_12,I_a_Oct_12,I_a_Apr_13,I_a_Jun_13,I_a_Aug_13,I_a_Nov_13,I_a_May_14,I_a_Jun_14,I_a_Aug_14,I_a_Oct_14,I_a_Apr_15,I_a_Jun_15,I_a_Aug_15,I_a_Nov_15,I_a_Apr_16,I_a_Jun_16,I_a_Aug_16,I_a_Oct_16,I_a_Apr_17,I_a_Jun_17,I_b_Apr_07,I_b_May_07,I_b_Jul_07,I_b_Aug_07,I_b_Apr_08,I_b_May_08,I_b_Jul_08,I_b_Oct_08,I_b_May_09,I_b_Jun_09,I_b_Aug_09,I_b_Nov_09,I_b_May_10,I_b_Jun_10,I_b_Jul_10,I_b_Sep_10,I_b_May_11,I_b_Jun_11,I_b_Jul_11,I_b_Oct_11,I_b_Apr_12,I_b_Jun_12,I_b_Aug_12,I_b_Oct_12,I_b_Apr_13,I_b_Jun_13,I_b_Aug_13,I_b_Nov_13,I_b_May_12,I_b_Jun_12,I_b_Aug_12,I_b_Oct_12,I_b_Apr_15,I_b_Jun_15,I_b_Aug_15,I_b_Nov_15,I_b_Apr_16,I_b_Jun_16,I_b_Aug_16,I_b_Oct_16,I_b_Apr_17,I_b_Jun_17
Abudefduf_bengalensis,0,25,0,0,0,0,5,0,0,0,5,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,1,0,1,0,0,0,6,15,0,0,0,0,6,0,0,0,15,12,3,2,5,1,2,0,2,2,0,0,0,3,7,3,2,3,4,0,0,1,3,0,0,6,4,0,6,2,1,0,0,8,0,0,0,1,1,5,2,3
Abudefduf_sexfasciatus,32,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,15,0,30,0,0,0,0,0,0,0,0,0,5,20,0,0,0,0,10,20,5,0,0,0,0,0,29,0,0
Abudefduf_vaigiensis,16,80,25,8,6,15,28,0,6,15,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,1,10,30,20,0,0,0,0,20,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,12,50,0,1,0,0,30,10,30,0,0,0,0,4,33,0,0
Acanthopagrus_schlegelii_schlegelii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
Acanthurus_dussumieri,3,3,3,1,1,0,5,1,1,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
Acanthurus_nigrofuscus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthurus_thompsoni,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthurus_xanthopterus,1,0,1,0,0,4,0,0,0,2,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,3,2,0,0,1,0,0,0,2,0,0,0,6,2,0,0,1,7,0,9,12,0,0,0,2,0,0,0,0,0,0,3,0,0,0,2,0,1,1,0,0,0,4,3,2,0,0,0,0,0,1,0,0,0,4,0,0,0,4,2,1,1,5,0,0,0,0,0,0,0,0
Amphiprion_clarkii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,2,1,0,2,0,0,0,2,0
Anampses_caeruleopunctatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
