,II_a_Jul_00,II_a_Sep_00,II_a_Mar_01,II_a_Jun_01,II_a_Jul_01,II_a_Nov_01,II_a_Mar_02,II_a_Jun_02,II_a_Aug_02,II_a_Nov_02,II_a_Apr_03,II_a_Jun_03,II_a_Jul_03,II_a_Aug_03,II_a_Jun_04,II_a_Jul_04,II_a_Aug_04,II_a_Sep_04,II_a_Jun_05,II_a_Jul_05,II_a_Aug_05,II_a_Nov_05,II_a_May_06,II_a_Jun_06,II_a_Jul_06,II_a_Aug_06,II_a_May_07,II_a_Jun_07,II_a_Jul_07,II_a_Oct_07,II_a_May_08,II_a_Jun_08,II_a_Jul_08,II_a_Oct_08,II_a_May_09,II_a_Jun_09,II_a_Aug_09,II_a_Nov_09,II_a_May_10,II_a_Jun_10,II_a_Aug_10,II_a_Oct_10,II_a_Apr_11,II_a_Jun_11,II_a_Aug_11,II_a_Oct_11,II_a_Apr_12,II_a_Jun_12,II_a_Aug_12,II_a_Oct_12,II_a_Apr_13,II_a_Jun_13,II_a_Aug_13,II_a_Nov_13,II_a_May_14,II_a_Jun_14,II_a_Aug_14,II_a_Oct_14,II_a_May_15,II_a_Jun_15,II_a_Aug_15,II_a_Nov_15,II_a_Apr_16,II_a_Jun_16,II_a_Aug_16,II_a_Oct_16,II_a_Apr_17,II_a_Jun_17,II_b_Sep_00,II_b_Mar_01,II_b_Jun_01,II_b_Jul_01,II_b_Nov_01,II_b_Mar_02,II_b_Jun_02,II_b_Aug_02,II_b_Nov_02,II_b_May_03,II_b_Jun_03,II_b_Jul_03,II_b_Aug_03,II_b_Jun_04,II_b_Jul_04,II_b_Aug_04,II_b_Sep_04,II_b_Jun_05,II_b_Jul_05,II_b_Aug_05,II_b_Nov_05,II_b_May_06,II_b_Jun_06,II_b_Jul_06,II_b_Aug_06,II_b_May_07,II_b_Jun_07,II_b_Jul_07,II_b_Oct_07,II_b_May_08,II_b_Jun_08,II_b_Jul_08,II_b_Oct_08,II_b_May_09,II_b_Jun_09,II_b_Aug_09,II_b_Nov_09,II_b_May_10,II_b_Jun_10,II_b_Aug_10,II_b_Oct_10,II_b_Apr_11,II_b_Jun_11,II_b_Aug_11,II_b_Oct_11,II_b_Apr_12,II_b_Jun_12,II_b_Aug_12,II_b_Oct_12,II_b_Apr_13,II_b_Jun_13,II_b_Aug_13,II_b_Nov_13,II_b_May_14,II_b_Jun_14,II_b_Aug_14,II_b_Oct_14,II_b_May_15,II_b_Jun_15,II_b_Aug_15,II_b_Nov_15,II_b_Apr_16,II_b_Jun_16,II_b_Aug_16,II_b_Oct_16,II_b_Apr_17,II_b_Jun_17
Abudefduf_bengalensis,200,100,10,25,30,20,5,5,16,64,12,2,3,10,2,2,20,3,1,3,0,0,40,0,50,100,0,3,0,0,7,5,12,35,0,25,0,16,6,2,25,15,0,8,12,105,0,0,0,0,9,9,1,0,13,1,20,60,0,10,17,60,8,1,2,1,43,1,13,34,15,0,10,30,0,15,14,2,4,7,4,5,35,10,65,2,5,0,8,0,25,3,100,2,0,0,2,0,0,4,50,50,30,9,6,0,6,0,20,50,3,8,10,12,1,8,1,45,9,2,0,0,0,10,10,0,4,2,31,20,2,7,1,1,1
Abudefduf_sexfasciatus,0,0,0,0,0,0,0,0,10,1,0,0,2,1,0,0,2,0,0,0,0,0,1,0,1,5,0,1,3,0,0,0,0,3,0,4,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,5,2,12,4,0,5,8,1,35,30,7,12,10,0,0,0,0,0,0,1,0,0,5,0,0,0,1,1,0,4,10,0,0,13,0,8,0,7,9,1,0,0,2,0,3,0,2,0,1,0,6,1,0,8,0,0,0,0,16,15,0,0
Abudefduf_sordidus,60,0,0,0,0,10,0,5,0,25,1,1,2,3,1,1,0,0,0,3,0,0,12,0,5,5,0,1,2,1,0,0,1,0,0,1,0,1,0,3,2,0,0,0,0,2,0,0,0,0,0,3,0,0,1,0,6,0,3,1,1,7,13,0,1,2,3,0,0,0,0,0,0,3,5,0,0,0,10,5,0,0,8,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,0,0,0,4,0,2,0,0,3,20,0,0,0,0,0
Abudefduf_vaigiensis,400,0,20,100,80,50,25,10,180,12,0,20,130,120,0,260,150,0,0,0,0,0,20,1,8,50,0,8,300,0,0,0,14,5,0,1,0,20,0,0,8,0,0,0,0,30,0,0,0,0,0,0,8,0,0,2,180,50,1,7,2,5,0,0,10,0,10,0,56,55,25,30,50,50,12,25,14,2,100,400,76,10,50,80,180,30,5,0,0,0,22,45,100,0,0,7,10,0,5,35,20,10,20,30,2,0,14,1,5,1,0,10,0,3,0,9,0,33,2,20,0,10,2,36,50,30,40,0,0,10,6,13,50,0,0
Acanthopagrus_latus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,7,2,1,2,4,0,0,0,0,0,60,150
Acanthopagrus_schlegelii_schlegelii,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,12,2,0,8,1,1,0,0,0,15,1,8,1,4,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,60,30,6,16,0,40,3,0,6,4,0,30,150
Acanthurus_dussumieri,15,2,0,0,0,0,0,0,15,0,0,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,1,0,3,0,3,4,1,5,0,0,0,0,0,0,0,0,10,7,0,0,0,0,1,0,0,0,3,2,0,0,4,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,1,0,4,1,10,1,0,0,0,0,0
Acanthurus_nigrofuscus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthurus_xanthopterus,4,0,0,1,0,0,0,0,10,0,0,2,1,0,6,1,8,0,0,2,0,0,0,0,1,1,0,0,1,0,1,0,3,0,0,1,0,0,0,2,11,2,0,0,1,0,0,0,0,0,0,1,4,0,0,1,2,3,21,0,3,1,0,0,8,0,0,0,0,0,0,1,0,0,0,0,1,0,3,2,0,3,12,10,0,0,1,0,0,0,0,3,8,5,20,2,0,0,1,1,0,0,1,0,0,2,8,6,2,0,0,0,0,0,0,0,0,3,9,3,0,2,1,10,9,3,2,0,3,5,0,1,0,0,3
Alectis_indica,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amphiprion_clarkii,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anampses_caeruleopunctatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
